                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.38986,                 0.6985,                0.85935,                0.78927,                0.91995,                0.95267,                 0.9825,                0.90585,                0.91995,                0.95267,                 0.9825,                0.81372,                 0.3289,                0.52615,                0.75586,                0.74594,             0.00022009,             0.00022009,             0.00022009
                     84,                0.42885,                0.88625,                0.88048,                0.80248,                0.89795,                0.95536,                0.98494,                 0.9056,                0.89795,                0.95536,                0.98494,                0.81533,                0.32891,                0.52777,                0.74098,                0.74716,             0.00020909,             0.00020909,             0.00020909
                     85,                 0.4118,                0.64119,                0.89021,                0.81071,                0.89795,                0.95536,                0.98494,                 0.9056,                0.89795,                0.95536,                0.98494,                0.81533,                0.32891,                0.52777,                0.74098,                0.74716,             0.00019809,             0.00019809,             0.00019809
                     86,                0.39313,                 0.7265,                0.83375,                0.81202,                0.75018,                0.95528,                0.96751,                0.88721,                0.75018,                0.95528,                0.96751,                0.78482,                 0.3295,                0.56004,                0.87431,                0.74922,             0.00018709,             0.00018709,             0.00018709
                     87,                0.36603,                0.62606,                0.81082,                0.79682,                0.75018,                0.95528,                0.96751,                0.88721,                0.75018,                0.95528,                0.96751,                0.78482,                 0.3295,                0.56004,                0.87431,                0.74922,             0.00017609,             0.00017609,             0.00017609
                     88,                0.41306,                0.73354,                0.89942,                0.81678,                0.71788,                0.96741,                0.95663,                0.86615,                0.71788,                0.96741,                0.95663,                0.76608,                 0.3244,                 0.5918,                 1.0404,                0.74793,             0.00016509,             0.00016509,             0.00016509
                     89,                0.41406,                0.69449,                 0.8126,                0.80982,                0.71788,                0.96741,                0.95663,                0.86615,                0.71788,                0.96741,                0.95663,                0.76608,                 0.3244,                 0.5918,                 1.0404,                0.74793,              0.0001541,              0.0001541,              0.0001541
                     90,                 0.4254,                0.66154,                0.85609,                0.82008,                0.73737,                      1,                0.96751,                0.87802,                0.73737,                      1,                0.96751,                0.78894,                0.32512,                0.54264,                 0.9029,                0.74845,              0.0001431,              0.0001431,              0.0001431
                     91,                0.37215,                0.86778,                0.80569,                0.80505,                0.73737,                      1,                0.96751,                0.87802,                0.73737,                      1,                0.96751,                0.78894,                0.32512,                0.54264,                 0.9029,                0.74845,              0.0001321,              0.0001321,              0.0001321
                     92,                0.37085,                0.68438,                0.80315,                0.80703,                0.89437,                0.99255,                0.99167,                0.90969,                0.89437,                0.99255,                0.99167,                0.83003,                0.33062,                  0.498,                0.70363,                0.74917,              0.0001211,              0.0001211,              0.0001211
                     93,                0.35962,                0.70556,                0.82705,                0.78969,                0.89437,                0.99255,                0.99167,                0.90969,                0.89437,                0.99255,                0.99167,                0.83003,                0.33062,                  0.498,                0.70363,                0.74917,              0.0001101,              0.0001101,              0.0001101
                     94,                0.36084,                0.70797,                0.79415,                0.81368,                0.96017,                0.98496,                  0.995,                0.90899,                0.96017,                0.98496,                  0.995,                0.83441,                0.34037,                0.48936,                0.61563,                0.74691,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.34274,                0.62773,                0.74321,                0.79153,                0.96017,                0.98496,                  0.995,                0.90899,                0.96017,                0.98496,                  0.995,                0.83441,                0.34037,                0.48936,                0.61563,                0.74691,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.34655,                0.75285,                0.77731,                0.78366,                0.97148,                0.99445,                  0.995,                 0.9087,                0.97148,                0.99445,                  0.995,                0.82593,                0.34621,                 0.4962,                0.59528,                0.74661,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.35285,                0.63849,                0.83319,                0.78664,                0.97148,                0.99445,                  0.995,                 0.9087,                0.97148,                0.99445,                  0.995,                0.82593,                0.34621,                 0.4962,                0.59528,                0.74661,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                 0.3403,                0.63251,                0.73364,                0.79882,                0.96787,                0.99202,                  0.995,                0.90755,                0.96787,                0.99202,                  0.995,                0.83532,                0.34733,                 0.4974,                0.60014,                0.74664,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.32518,                0.66552,                0.73976,                0.78548,                0.96787,                0.99202,                  0.995,                0.90755,                0.96787,                0.99202,                  0.995,                0.83532,                0.34733,                 0.4974,                0.60014,                0.74664,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.35606,                0.78985,                0.79244,                0.79091,                0.96776,                0.99363,                  0.995,                0.91421,                0.96776,                0.99363,                  0.995,                0.82545,                0.34413,                0.49311,                0.59872,                0.74632,             3.3108e-05,             3.3108e-05,             3.3108e-05
